mode,q_mode,cl,SDSS9,m_SDSS9,objID,Sp-ID,RA_ICRS,DE_ICRS,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,pmRA,pmDE,f_zsp
1,+,3,"J023246.78-024038.0",,1237678879963545896,"4344-55557-0160",38.194938,-2.677244,2008.8306,3,21.949,0.349,21.536,0.09,19.599,0.031,18.91,0.024,18.553,0.063,0.33659,-10,8,0
1,+,3,"J023251.96-024009.6",,1237678879963611873,"4344-55557-0147",38.216506,-2.66935,2008.8306,3,26.158,0.69,23.042,0.268,21.185,0.095,20.122,0.053,19.597,0.124,0.58597,,,0
1,+,3,"J023252.51-023743.2",,1237678879963611876,"4344-55557-0142",38.218801,-2.628669,2008.8306,3,26.373,0.921,22.724,0.315,20.861,0.11,19.854,0.064,19.181,0.134,0.69405,,,4
1,+,3,"J023211.90-024225.6",,1237678879963545785,"4344-55557-0184",38.04959,-2.707136,2008.8306,3,21.204,0.332,19.069,0.021,17.668,0.011,17.123,0.01,16.73,0.025,0.2402,-10,21,0
1,+,3,"J023156.13-024120.6",,1237678879963480108,"4344-55557-0181",37.983898,-2.689079,2008.8306,3,23.794,1.171,22.367,0.14,20.858,0.065,19.884,0.042,19.694,0.123,0.38668,,,0
1,+,3,"J023220.30-023907.7",,1237678879963546034,"4344-55557-0145",38.084605,-2.652161,2008.8306,3,26.768,0.453,22.588,0.191,20.9,0.079,19.804,0.044,19.556,0.128,0.59765,,,0
1,+,3,"J023238.58-023903.2",,1237678879963546243,"4344-55557-0151",38.160777,-2.650904,2008.8306,3,26.024,0.688,22.467,0.136,20.958,0.068,19.91,0.038,19.657,0.111,0.52545,,,0
1,+,3,"J023252.51-023638.4",,1237678879963611878,"4344-55557-0149",38.218802,-2.610685,2008.8306,3,23.019,0.755,22.838,0.252,20.859,0.081,19.852,0.046,19.419,0.119,0.57268,,,0
1,+,3,"J023223.20-023820.6",,1237678879963546079,"4344-55557-0148",38.096704,-2.639067,2008.8306,3,25.154,1.527,22.486,0.177,20.742,0.07,19.844,0.047,19.246,0.1,0.60005,,,0
1,+,3,"J023238.41-023411.5",,1237678879963545798,"4344-55557-0154",38.160068,-2.569886,2008.8306,3,20.006,0.143,18.59,0.017,17.411,0.011,16.891,0.01,16.51,0.025,0.23785,8,1,0
1,+,6,"J023110.82-024454.3",,1237678888526151850,"4344-55557-0222",37.795117,-2.748442,2008.8333,3,19.992,0.045,19.087,0.01,18.724,0.01,18.64,0.012,18.588,0.033,1.0E-5,8,-11,0
1,+,3,"J023111.63-024256.3",,1237678879963414909,"4344-55557-0223",37.798496,-2.71564,2008.8306,3,22.572,0.423,22.268,0.108,21.373,0.08,20.446,0.057,20.085,0.137,0.63133,,,4
