OzDES,RAJ2000,DEJ2000,z,Flag,types
"OzDES_010438",54.966667,-26.642583,0.47003,3,"LRG"
"OzDES_010440",54.962125,-26.634167,0.46838,3,"RedMaGiC"
"OzDES_010446",54.897417,-26.580667,0.62666,3,"RedMaGiC"
"OzDES_010450",54.909292,-26.563139,2.05007,4,"AGN_monitoring"
"OzDES_010445",55.03325,-26.584306,0.70958,4,"ELG"
"OzDES_010449",55.021958,-26.577583,0.33204,4,"LRG"
"OzDES_000309",54.9995,-26.583778,0.53894,4,"Photo-z"
"OzDES_010451",55.037958,-26.550528,0.60509,3,"LRG"
"OzDES_010453",55.083083,-26.534167,4.9E-4,6,"BrightGalaxy"
"OzDES_000310",55.053,-26.500972,0.239,4,"Photo-z"
"OzDES_010455",55.054167,-26.499056,0.71103,3,"LRG"
"OzDES_010452",54.969083,-26.553167,0.17257,3,"BrightGalaxy"
"OzDES_010456",55.059583,-26.48525,1.6427,4,"AGN_reverberation"
"OzDES_010448",55.182,-26.574333,0.63098,3,"LRG"
"OzDES_010454",55.222667,-26.513694,0.65202,3,"LRG"
"OzDES_010457",55.091208,-26.481222,0.37462,4,"LRG"
"OzDES_010459",55.14425,-26.469222,1.14298,4,"AGN_monitoring"
"OzDES_007510",54.528042,-26.893083,0.13124,4,"BrightGalaxy"
"OzDES_007551",54.540333,-26.854472,0.06744,4,"BrightGalaxy"
"OzDES_007518",54.438125,-26.878556,0.53621,3,"RedMaGiC"
"OzDES_007548",54.442625,-26.845361,0.11504,4,"BrightGalaxy"
"OzDES_007549",54.494083,-26.832833,0.88516,3,"ELG"
"OzDES_000365",54.460292,-26.823528,0.23013,4,"Photo-z"
"OzDES_007560",54.466417,-26.808639,0.68914,4,"LRG"
"OzDES_000367",54.594625,-26.841417,0.33403,4,"Photo-z"
"OzDES_007573",54.580458,-26.77975,0.68597,4,"LRG"
"OzDES_007567",54.649042,-26.785556,0.65964,3,"LRG"
"OzDES_010468",54.520333,-26.7515,0.87684,3,"LRG"
"OzDES_010474",54.598042,-26.73275,0.62272,3,"RedMaGiC"
"OzDES_010479",54.585833,-26.719778,0.10409,4,"BrightGalaxy"
"OzDES_000363",54.394417,-26.819472,0.37891,4,"Photo-z"
"OzDES_007552",54.37125,-26.825056,0.37782,3,"BrightGalaxy"
"OzDES_007562",54.41825,-26.799444,0.93091,3,"ELG"
"OzDES_007576",54.471708,-26.767972,0.89249,3,"ELG"
"OzDES_007584",54.455208,-26.755222,0.14051,4,"BrightGalaxy"
"OzDES_007565",54.359125,-26.812778,0.22996,3,"BrightGalaxy"
"OzDES_007583",54.3675,-26.758222,1.08116,3,"ELG"
"OzDES_000326",54.384542,-26.717556,0.29931,4,"Photo-z"
"OzDES_000328",54.508708,-26.717944,0.33808,4,"Photo-z"
"OzDES_010476",54.544208,-26.723611,0.84664,3,"AGN_reverberation"
"OzDES_010489",54.546542,-26.688472,0.15913,4,"BrightGalaxy"
"OzDES_010498",54.549667,-26.673972,0.36746,4,"LRG"
"OzDES_010480",54.453125,-26.712639,0.89249,3,"ELG"
"OzDES_010483",54.476792,-26.697694,0.08519,4,"ELG"
"OzDES_010508",54.528333,-26.650361,0.2714,3,"RedMaGiC"
"OzDES_000327",54.472375,-26.666111,2.76535,4,"Photo-z"
"OzDES_010470",54.678625,-26.743333,0.93159,3,"ELG"
"OzDES_010491",54.690833,-26.708222,0.11209,4,"BrightGalaxy"
"OzDES_010496",54.693,-26.693861,0.11241,4,"BrightGalaxy"
"OzDES_000330",54.675125,-26.69825,0.14662,4,"Photo-z"
"OzDES_000329",54.594875,-26.681889,0.68325,3,"Photo-z"
"OzDES_010502",54.658417,-26.655972,0.33152,3,"LRG"
"OzDES_010515",54.77325,-26.627556,1.57348,4,"AGN_monitoring"
"OzDES_010512",54.74475,-26.640861,0.0,4,"AGN_reverberation"
"OzDES_010521",54.814083,-26.638111,0.10507,4,"BrightGalaxy"
"OzDES_010523",54.759958,-26.597028,0.67559,3,"LRG"
"OzDES_010527",54.750917,-26.593528,0.46842,3,"BrightGalaxy"
"OzDES_001993",54.572708,-26.666944,2.2143,4,"AGN_reverberation"
"OzDES_010510",54.597,-26.643861,0.67667,3,"LRG"
"OzDES_010517",54.61775,-26.627639,0.11351,4,"BrightGalaxy"
"OzDES_010526",54.602292,-26.590861,1.33808,4,"AGN_monitoring"
"OzDES_010530",54.627417,-26.575833,0.15909,4,"BrightGalaxy"
"OzDES_000308",54.7345,-26.534389,0.13193,4,"Photo-z"
"OzDES_010561",54.708208,-26.488556,0.90389,3,"ELG"
"OzDES_010552",54.602125,-26.524139,0.04185,4,"BrightGalaxy"
"OzDES_000306",54.6015,-26.511167,0.33139,4,"Photo-z"
"OzDES_010544",54.624708,-26.524722,0.73733,3,"ELG"
"OzDES_010558",54.605958,-26.506694,0.06662,4,"BrightGalaxy"
"OzDES_000307",54.65775,-26.466806,0.3345,4,"Photo-z"
"OzDES_007575",54.317833,-26.774722,0.54712,3,"LRG"
"OzDES_007577",54.314167,-26.770556,0.54926,3,"RedMaGiC"
"OzDES_010486",54.308333,-26.707361,0.28363,3,"BrightGalaxy"
"OzDES_010485",54.380917,-26.69325,0.72598,3,"LRG"
"OzDES_010484",54.34525,-26.698444,0.28256,4,"LRG"
"OzDES_010497",54.355333,-26.67325,0.2815,4,"LRG"
"OzDES_010477",54.267333,-26.725361,0.54883,4,"LRG"
"OzDES_010475",54.272875,-26.723861,0.12159,4,"ELG"
"OzDES_010481",54.290042,-26.713556,0.28606,3,"LRG"
"OzDES_010501",54.309333,-26.659444,0.54922,3,"LRG"
"OzDES_010509",54.335417,-26.654722,0.28146,4,"BrightGalaxy"
"OzDES_010514",54.296167,-26.634333,0.28281,4,"RedMaGiC"
"OzDES_000325",54.321083,-26.639833,0.5211,3,"Photo-z"
"OzDES_010494",54.418583,-26.676167,0.64397,3,"RedMaGiC"
"OzDES_010500",54.392625,-26.66975,3.1E-4,6,"BrightGalaxy"
"OzDES_010506",54.370667,-26.6545,0.67908,4,"ClusterGalaxy"
"OzDES_010518",54.443708,-26.622278,0.92445,3,"ELG"
"OzDES_010520",54.379667,-26.628889,0.16244,4,"BrightGalaxy"
"OzDES_010529",54.388833,-26.57725,0.28279,4,"LRG"
"OzDES_010534",54.408042,-26.557583,0.92461,3,"ELG"
"OzDES_000324",54.255458,-26.652028,0.31541,4,"Photo-z"
"OzDES_010503",54.202333,-26.65375,0.89925,3,"ELG"
"OzDES_010513",54.271417,-26.633722,0.5479,4,"LRG"
"OzDES_010522",54.253583,-26.626806,5.0E-5,4,"AGN_reverberation"
"OzDES_010524",54.252125,-26.596139,0.47141,3,"RedMaGiC"
"OzDES_010532",54.190792,-26.57175,0.54756,4,"LRG"
"OzDES_010525",54.301417,-26.594333,0.46594,4,"RedMaGiC"
"OzDES_010537",54.388375,-26.538528,0.89724,3,"ELG"
"OzDES_002470",54.362125,-26.519778,0.33773,3,"ClusterGalaxy"
"OzDES_010546",54.252958,-26.525,0.14154,4,"BrightGalaxy"
"OzDES_000304",54.510708,-26.562778,0.54251,4,"Photo-z"
"OzDES_000303",54.4835,-26.549583,0.73279,3,"Photo-z"
"OzDES_010531",54.540792,-26.563806,0.9204,3,"ELG"
"OzDES_010542",54.549458,-26.526528,0.0,4,"AGN_reverberation"
"OzDES_010535",54.513125,-26.542778,0.67569,3,"LRG"
"OzDES_010551",54.540708,-26.513278,1.05069,3,"ELG"
"OzDES_010550",54.534917,-26.513528,0.88306,3,"ELG"
"OzDES_010540",54.459833,-26.536444,0.85616,4,"ELG"
"OzDES_010545",54.423958,-26.528944,0.3345,4,"LRG"
"OzDES_001978",54.604167,-26.471444,2.37738,4,"AGN_reverberation"
"OzDES_010567",54.562792,-26.473083,0.38387,4,"AGN_reverberation"
"OzDES_000305",54.576167,-26.470972,0.52126,3,"Photo-z"
"OzDES_010573",54.589375,-26.445583,1.34199,4,"AGN_monitoring"
"OzDES_010570",54.520083,-26.458278,1.8E-4,6,"BrightGalaxy"
"OzDES_010588",54.581,-26.425444,0.34225,4,"BrightGalaxy"
"OzDES_010553",54.396625,-26.514028,0.33237,3,"RedMaGiC"
"OzDES_010555",54.4155,-26.512667,0.33408,4,"LRG"
"OzDES_010559",54.38775,-26.510583,0.33338,4,"ClusterGalaxy"
"OzDES_010564",54.430833,-26.473556,-4.0E-5,4,"AGN_reverberation"
"OzDES_002471",54.408583,-26.467333,0.33181,3,"ClusterGalaxy"
"OzDES_000302",54.459083,-26.465972,0.20515,3,"Photo-z"
"OzDES_010571",54.468208,-26.457972,0.10505,4,"BrightGalaxy"
"OzDES_010579",54.434292,-26.43325,1.18637,4,"AGN_monitoring"
"OzDES_000282",54.440542,-26.435389,0.36788,4,"Photo-z"
