Num,Name,RAJ2000,DEJ2000,imag,z,f_z
20139287,"VVDS-J022814.43-044150.4",37.060145,-4.6973413,23.5911,1.8526,1
20142920,"VVDS-J022815.53-044126.0",37.0647423,-4.6905687,22.1223,0.6041,3
20130923,"VVDS-J022806.00-044302.2",37.025023,-4.7173012,23.6324,9.9999,0
20131191,"VVDS-J022806.61-044301.3",37.0275578,-4.7170465,23.3941,0.9171,2
20136713,"VVDS-J022802.05-044211.9",37.0085647,-4.7033246,23.6951,3.1549,1
20136906,"VVDS-J022801.66-044211.9",37.0069213,-4.703317,22.74,0.3233,24
20137782,"VVDS-J022803.63-044205.1",37.0151547,-4.7014414,22.8787,1.3681,1
20137540,"VVDS-J022802.46-044206.0",37.0102911,-4.7016806,22.6345,0.6933,2
20138318,"VVDS-J022805.38-044203.3",37.022422,-4.7009288,21.3937,0.6345,4
20138764,"VVDS-J022804.39-044155.2",37.0183203,-4.6986745,23.8622,0.818,1
20138407,"VVDS-J022810.00-044159.9",37.0416891,-4.6999747,22.5748,0.9149,3
20140069,"VVDS-J022810.77-044145.2",37.0448898,-4.6959053,23.5798,9.9999,0
20141776,"VVDS-J022810.75-044131.8",37.0448312,-4.692191,22.1297,0.6103,3
20144086,"VVDS-J022811.35-044111.4",37.0473322,-4.6865236,23.2421,0.436,2
20146928,"VVDS-J022812.64-044046.7",37.0526811,-4.679646,23.5047,3.3579,2
20145751,"VVDS-J022816.28-044055.4",37.0678691,-4.6820599,23.0551,0.9649,2
20149369,"VVDS-J022815.02-044024.9",37.0626034,-4.6735863,23.8705,3.5373,2
20150797,"VVDS-J022816.75-044016.6",37.0698316,-4.671291,21.4142,0.7084,3
20148590,"VVDS-J022813.70-044031.8",37.0571,-4.6755181,22.7665,0.9876,2
20148532,"VVDS-J022813.48-044031.7",37.0562005,-4.6754889,22.8674,0.8415,22
20149799,"VVDS-J022814.35-044021.5",37.0597943,-4.6726584,23.3985,1.0313,2
20149225,"VVDS-J022813.17-044025.9",37.054905,-4.6738724,23.5261,1.0665,3
20157643,"VVDS-J022817.29-043915.6",37.0720633,-4.6543371,23.1387,1.1216,2
20161105,"VVDS-J022817.24-043846.9",37.0718411,-4.6463705,23.4082,0.7259,4
20086753,"VVDS-J022707.37-044911.5",36.7807299,-4.8198658,23.9165,9.9999,0
20087140,"VVDS-J022707.16-044908.6",36.7798355,-4.8190801,23.6369,0.3608,1
20090533,"VVDS-J022705.75-044839.8",36.7739857,-4.8110805,23.2686,1.8816,2
20090676,"VVDS-J022705.44-044838.4",36.7727029,-4.8106715,23.792,1.422,1
20087662,"VVDS-J022659.07-044904.6",36.7461407,-4.8179547,23.1398,1.1342,3
20089272,"VVDS-J022658.92-044849.2",36.7455244,-4.8136717,23.7832,1.1134,9
20090259,"VVDS-J022659.60-044842.6",36.7483351,-4.8118406,21.845,0.6147,2
20089248,"VVDS-J022703.27-044849.2",36.7636329,-4.813693,23.6682,0.81,2
20089368,"VVDS-J022701.44-044848.4",36.7560381,-4.8134486,23.9161,9.9999,0
20090897,"VVDS-J022702.07-044836.9",36.7586576,-4.810253,23.9558,0.8872,2
20091657,"VVDS-J022703.95-044839.7",36.7664778,-4.8110353,22.605,3.6349,1
20091707,"VVDS-J022703.83-044827.6",36.7659815,-4.80768,23.1718,0.73,2
20091132,"VVDS-J022701.90-044833.7",36.7579388,-4.8093689,23.9556,0.3797,1
20092971,"VVDS-J022701.56-044821.9",36.7565061,-4.8061022,21.4457,0.3439,4
20086507,"VVDS-J022656.22-044913.7",36.7342616,-4.8204973,23.2501,0.801,2
20088006,"VVDS-J022652.74-044859.5",36.719768,-4.8165523,23.9258,9.9999,0
20088808,"VVDS-J022653.58-044853.8",36.7232903,-4.8149662,23.2903,0.4583,1
20088920,"VVDS-J022653.16-044853.1",36.721523,-4.8147681,23.7284,9.9999,0
20090093,"VVDS-J022655.15-044843.5",36.7298226,-4.812085,23.1325,0.754,2
20086536,"VVDS-J022648.76-044914.5",36.7031918,-4.8206962,22.2341,0.8856,3
20087885,"VVDS-J022650.74-044903.3",36.7114475,-4.8176008,22.5336,0.7017,3
20090933,"VVDS-J022651.52-044848.7",36.7146702,-4.8135353,21.1891,0.437,2
20092887,"VVDS-J022653.19-044818.1",36.7216455,-4.8050314,23.7348,0.888,2
20093455,"VVDS-J022650.87-044814.0",36.7119643,-4.803914,22.3205,0.795,2
20089960,"VVDS-J022657.88-044842.1",36.7411765,-4.8117204,23.7124,1.168,1
20090867,"VVDS-J022656.38-044841.7",36.7349398,-4.8116056,21.6811,0.8854,3
20092830,"VVDS-J022656.90-044818.3",36.7370985,-4.8051108,23.7288,9.9999,0
20094964,"VVDS-J022659.73-044802.1",36.7489051,-4.8006039,23.2941,1.9217,2
20096633,"VVDS-J022701.15-044745.3",36.7548163,-4.7959179,23.4352,0.3833,3
20096683,"VVDS-J022659.99-044745.5",36.7499876,-4.7959767,23.0121,0.2532,3
20096233,"VVDS-J022655.63-044748.4",36.7318163,-4.7968036,23.0691,0.5107,4
20097856,"VVDS-J022654.13-044735.1",36.7255583,-4.7930944,22.4505,0.7961,3
20100330,"VVDS-J022655.30-044724.3",36.730455,-4.7900926,21.6404,0.8847,3
20086805,"VVDS-J022726.70-044912.8",36.8612742,-4.8202468,21.9125,9.9999,0
20087798,"VVDS-J022724.69-044904.2",36.8528831,-4.8178359,23.2015,0.295,3
20087322,"VVDS-J022722.53-044906.4",36.8438873,-4.8184658,23.8106,9.9999,0
20088379,"VVDS-J022721.39-044903.7",36.8391619,-4.8177203,21.0352,0.933,4
20088317,"VVDS-J022719.24-044859.3",36.8301837,-4.816487,22.9921,0.2045,4
20088615,"VVDS-J022720.85-044852.2",36.8368774,-4.8145074,25.4759,9.9999,20
20089544,"VVDS-J022723.97-044849.9",36.8499024,-4.8138862,23.1849,2.726,1
20090051,"VVDS-J022724.39-044845.4",36.8516375,-4.8126209,21.6133,0.6508,2
20090766,"VVDS-J022725.07-044837.5",36.8544971,-4.8104258,23.0298,1.0241,2
20090121,"VVDS-J022722.08-044841.6",36.8420026,-4.8115675,22.9314,1.2343,2
20091468,"VVDS-J022723.54-044829.7",36.8481174,-4.80825,23.1269,0.9631,3
20091437,"VVDS-J022722.01-044831.1",36.8417319,-4.8086423,23.6653,1.797,2
20086890,"VVDS-J022713.04-044908.3",36.8043561,-4.8189927,23.7118,9.9999,0
20088688,"VVDS-J022716.13-044855.2",36.8172169,-4.8153561,23.4119,1.1782,3
20089326,"VVDS-J022715.87-044849.2",36.8161618,-4.8136788,23.1129,0.914,3
20089124,"VVDS-J022715.21-044851.8",36.8133839,-4.8143914,22.7337,0.6532,4
20089022,"VVDS-J022710.30-044853.2",36.7929462,-4.8147787,22.71,0.4838,3
20090116,"VVDS-J022711.10-044848.4",36.7962538,-4.8134721,19.9854,9.9999,20
20089608,"VVDS-J022710.81-044848.8",36.7950806,-4.8135601,21.8168,0.8284,2
20089235,"VVDS-J022709.64-044851.4",36.790199,-4.8142858,23.4093,9.9999,0
20089598,"VVDS-J022712.76-044846.9",36.80317,-4.8130502,23.7934,0.2958,2
20090727,"VVDS-J022712.51-044847.8",36.8021562,-4.8133016,20.1609,0.2952,2
20090028,"VVDS-J022713.28-044843.0",36.8053604,-4.8119491,23.4306,9.9999,0
20091227,"VVDS-J022713.53-044834.5",36.8063823,-4.8095896,22.0153,0.4453,4
20091592,"VVDS-J022711.71-044830.6",36.7987983,-4.8085162,23.8457,1.4712,2
20097687,"VVDS-J022713.83-044811.2",36.8076472,-4.8031137,17.7188,0.2399,4
20088073,"VVDS-J022718.64-044857.4",36.8276711,-4.8159638,23.8392,2.893,1
20089640,"VVDS-J022717.16-044846.4",36.8215194,-4.8129046,22.6248,1.1777,3
20092770,"VVDS-J022719.87-044834.0",36.8328239,-4.8094536,20.5665,0.0539,3
20092684,"VVDS-J022718.44-044821.8",36.8268579,-4.8060651,22.8537,0.8834,3
20093407,"VVDS-J022718.02-044817.3",36.8251227,-4.8048292,21.3776,0.2379,4
20093488,"VVDS-J022718.85-044816.1",36.8285437,-4.8044826,21.9631,0.2494,4
20095605,"VVDS-J022722.92-044754.5",36.8455148,-4.7984875,22.7066,1.0818,4
20094715,"VVDS-J022719.38-044801.2",36.830779,-4.8003399,23.7698,1.14,2
20094105,"VVDS-J022715.37-044810.8",36.8140516,-4.8030097,22.2733,0.4437,2
